fsu:362746,August20-1791
fsu:362814,August21-1791
fsu:362817,August22-1791
fsu:362754,August23-1791
fsu:362836,August24-1791
fsu:362828,August25-1791
fsu:362761,August26-1791
fsu:362793,August27-1791
fsu:362827,August28-1791
fsu:362769,August28-1791
fsu:362787,August29-1791
fsu:362936,August30-1791
fsu:362932,August31-1791
fsu:362954,September01-1791
fsu:362880,September02-1791
fsu:362888,September03-1791
fsu:362946,September04-1791
fsu:362931,September05-1791
fsu:362856,September06-1791
fsu:362915,September07-1791
fsu:362950,September08-1791
fsu:362900,September09-1791
fsu:362887,September10-1791
fsu:362871,September11-1791
fsu:362865,September12-1791
fsu:362874,September13-1791
fsu:362859,September14-1791
fsu:362917,September15-1791
fsu:362916,September16-1791
fsu:362903,September16-1791
fsu:362901,September17-1791
fsu:363009,September18-1791
fsu:363050,September19-1791
fsu:363034,September20-1791
fsu:363039,September21-1791
fsu:362969,September22-1791
fsu:363000,September23-1791
fsu:363066,September24-1791
fsu:362965,September25-1791
fsu:362984,September26-1791
fsu:363065,September27-1791
fsu:363055,September28-1791
fsu:362963,September29-1791
fsu:363016,September30-1791
fsu:362978,September30-1791
fsu:363025,October01-1791
fsu:363013,October02-1791
fsu:363070,October03-1791
fsu:362980,October04-1791
fsu:362998,October05-1791
fsu:363052,October06-1791
fsu:362994,October07-1791
fsu:363107,October08-1791
fsu:363116,October09-1791
fsu:363096,October10-1791
fsu:363138,October11-1791
fsu:363112,October12-1791
fsu:363182,October13-1791
fsu:363167,October14-1791
fsu:363151,October15-1791
fsu:363082,October16-1791
fsu:363094,October17-1791
fsu:363101,October18-1791
fsu:365621,October18-1791
fsu:363154,October19-1791
fsu:363122,October20-1791
fsu:363162,October21-1791
fsu:363126,October22-1791
fsu:363147,October23-1791
fsu:363085,October24-1791
fsu:363168,October25-1791
fsu:363177,October26-1791
fsu:363132,October27-1791
fsu:363255,October28-1791
fsu:363184,October29-1791
fsu:363225,October30-1791
fsu:363192,October31-1791
fsu:363220,November01-1791
fsu:363266,November02-1791
fsu:363238,November03-1791
fsu:363251,November04-1791
fsu:363282,November05-1791
fsu:363252,November06-1791
fsu:363268,November07-1791
fsu:363235,November08-1791
fsu:363196,November09-1791
fsu:363205,November10-1791
fsu:363221,November11-1791
fsu:363207,November12-1791
fsu:363212,November13-1791
fsu:363267,November14-1791
fsu:363241,November15-1791
fsu:363281,November16-1791
fsu:363342,November17-1791
fsu:363328,November18-1791
fsu:363313,November19-1791
fsu:363343,November20-1791
fsu:363332,November21-1791
fsu:363348,November22-1791
fsu:363358,November23-1791
fsu:363299,November24-1791
fsu:363369,November25-1791
fsu:363327,November26-1791
fsu:363298,November27-1791
fsu:363387,November28-1791
fsu:363357,November29-1791
fsu:363374,November30-1791
fsu:363284,December01-1791
fsu:363315,December02-1791
fsu:363295,December03-1791
fsu:363311,December04-1791
fsu:363384,December05-1791
fsu:363372,December06-1791
fsu:363453,December07-1791
fsu:363401,December08-1791
fsu:363503,December09-1791
fsu:363436,December10-1791
fsu:363496,December11-1791
fsu:363414,December11-1791
fsu:363469,December12-1791
fsu:363474,December13-1791
fsu:363451,December14-1791
fsu:363445,December15-1791
fsu:363480,December16-1791
fsu:363521,December17-1791
fsu:363390,December18-1791
fsu:363421,December19-1791
fsu:363430,December20-1791
fsu:363466,December21-1791
fsu:363423,December22-1791
fsu:363460,December23-1791
fsu:363415,December24-1791
fsu:363488,December25-1791
fsu:363439,December26-1791
fsu:363399,December27-1791
fsu:363485,December28-1791
fsu:363511,December29-1791
fsu:363405,December30-1791
fsu:363499,December31-1791
fsu:363583,January01-1792
fsu:363597,January02-1792
fsu:363582,January03-1792
fsu:363581,January04-1792
fsu:363596,January05-1792
fsu:363686,January06-1792
fsu:363654,January07-1792
fsu:363696,January08-1792
fsu:363626,January09-1792
fsu:363638,January10-1792
fsu:363620,January11-1792
fsu:363701,January12-1792
fsu:363683,January13-1792
fsu:363605,January14-1792
fsu:363634,January15-1792
fsu:363611,January16-1792
fsu:363670,January17-1792
fsu:363608,January18-1792
fsu:363729,January19-1792
fsu:363649,January20-1792
fsu:363715,January21-1792
fsu:363711,January22-1792
fsu:363656,January23-1792
fsu:363700,January24-1792
fsu:363685,January25-1792
fsu:363641,January26-1792
fsu:363667,January27-1792
fsu:363623,January28-1792
fsu:363672,January29-1792
fsu:363763,January30-1792
fsu:363718,January30-1792
fsu:363818,January31-1792
fsu:363788,February01-1792
fsu:363749,February02-1792
fsu:363745,February03-1792
fsu:363815,February04-1792
fsu:363802,February04-1792
fsu:363771,February05-1792
fsu:363832,February06-1792
fsu:363732,February07-1792
fsu:363734,February08-1792
fsu:363764,February09-1792
fsu:363827,February10-1792
fsu:363758,February11-1792
fsu:363794,February12-1792
fsu:363811,February13-1792
fsu:363823,February14-1792
fsu:363746,February15-1792
fsu:363779,February16-1792
fsu:363774,February17-1792
fsu:363801,February18-1792
fsu:363786,February19-1792
fsu:363951,February20-1792
fsu:363936,February21-1792
fsu:363892,February22-1792
fsu:365289,February22-1792
fsu:363913,February23-1792
fsu:363838,February24-1792
fsu:363941,February25-1792
fsu:363876,February26-1792
fsu:363847,February27-1792
fsu:363901,February28-1792
fsu:363927,February29-1792
fsu:363932,March01-1792
fsu:363967,March02-1792
fsu:363860,March03-1792
fsu:363962,March03-1792
fsu:363887,March04-1792
fsu:363872,March05-1792
fsu:363898,March06-1792
fsu:363907,March07-1792
fsu:363858,March08-1792
fsu:363947,March09-1792
fsu:363916,March10-1792
fsu:363922,March11-1792
fsu:363844,March12-1792
fsu:363862,March13-1792
fsu:363957,March14-1792
fsu:363882,March15-1792
fsu:364012,March16-1792
fsu:364093,March17-1792
fsu:364029,March18-1792
fsu:364092,March19-1792
fsu:363996,March20-1792
fsu:364011,March21-1792
fsu:364005,March22-1792
fsu:364020,March23-1792
fsu:364043,March24-1792
fsu:364065,March25-1792
fsu:364079,March26-1792
fsu:364078,March27-1792
fsu:364064,March28-1792
fsu:364050,March29-1792
fsu:363991,March30-1792
fsu:363969,March31-1792
fsu:363998,April01-1792
fsu:363980,April02-1792
fsu:364095,April03-1792
fsu:363981,April04-1792
fsu:363983,April04-1792
fsu:364062,April05-1792
fsu:364026,April06-1792
fsu:364048,April07-1792
fsu:364035,April08-1792
fsu:364077,April09-1792
fsu:364137,April10-1792
fsu:364125,April11-1792
fsu:364107,April12-1792
fsu:364153,April13-1792
fsu:364167,April14-1792
fsu:364160,April15-1792
fsu:364184,April16-1792
fsu:364181,April17-1792
fsu:364186,April18-1792
fsu:364109,April19-1792
fsu:364141,April20-1792
fsu:364176,April21-1792
fsu:364202,April21-1792
fsu:364108,April22-1792
fsu:364152,April23-1792
fsu:364199,April24-1792
fsu:364123,April25-1792
fsu:364170,April26-1792
fsu:364196,April27-1792
fsu:364138,April28-1792
fsu:364122,April29-1792
fsu:364279,April30-1792
fsu:364231,May01-1792
fsu:364252,May02-1792
fsu:364217,May03-1792
fsu:364303,May04-1792
fsu:364277,May05-1792
fsu:364263,May06-1792
fsu:364211,May07-1792
fsu:364250,May07-1792
fsu:364262,May08-1792
fsu:364306,May09-1792
fsu:364237,May10-1792
fsu:364294,May11-1792
fsu:364233,May12-1792
fsu:364213,May13-1792
fsu:364266,May14-1792
fsu:364244,May15-1792
fsu:364287,May16-1792
fsu:364218,May17-1792
fsu:364291,May18-1792
fsu:364308,May19-1792
fsu:364351,May20-1792
fsu:364389,May21-1792
fsu:364321,May22-1792
fsu:364429,May22-1792
fsu:364396,May23-1792
fsu:364418,May24-1792
fsu:364362,May25-1792
fsu:364403,May26-1792
fsu:364397,May27-1792
fsu:364411,May27-1792
fsu:364336,May29-1792
fsu:364381,May30-1792
fsu:364382,May30-1792
fsu:364323,May31-1792
fsu:364369,June01-1792
fsu:364413,June02-1792
fsu:364318,June03-1792
fsu:364367,June04-1792
fsu:364377,June05-1792
fsu:364341,June06-1792
fsu:364424,June07-1792
fsu:364350,June08-1792
